model,class,metric,value
centerpointpillars,construction_vehicle,AP_dist_4.0,0.2048361067355511
centerpointpillars,construction_vehicle,trans_err,0.6922730867812135
centerpointpillars,construction_vehicle,scale_err,0.44079873070858683
centerpointpillars,construction_vehicle,orient_err,0.8798387040899663
centerpointpillars,construction_vehicle,vel_err,0.13794947065402474
centerpointpillars,construction_vehicle,attr_err,0.3501524900771587
centerpointpillars,pedestrian,AP_dist_0.5,0.7317606660177579
centerpointpillars,pedestrian,AP_dist_1.0,0.7540122352245807
centerpointpillars,pedestrian,AP_dist_2.0,0.772600554872736
centerpointpillars,pedestrian,AP_dist_4.0,0.7899292157708404
centerpointpillars,pedestrian,trans_err,0.1682261066153912
centerpointpillars,pedestrian,scale_err,0.2750722983486734
centerpointpillars,pedestrian,orient_err,0.41082804010314405
centerpointpillars,pedestrian,vel_err,0.24965669318639003
centerpointpillars,pedestrian,attr_err,0.09221493612669193
centerpointpillars,motorcycle,AP_dist_0.5,0.35508435396276206
centerpointpillars,motorcycle,AP_dist_1.0,0.4298856312947007
centerpointpillars,motorcycle,AP_dist_2.0,0.43732369221756595
centerpointpillars,motorcycle,AP_dist_4.0,0.4468229198357011
centerpointpillars,motorcycle,trans_err,0.2440313154292868
centerpointpillars,motorcycle,scale_err,0.24516719381373725
centerpointpillars,motorcycle,orient_err,0.44362811330080565
centerpointpillars,motorcycle,vel_err,0.7216944501244228
centerpointpillars,motorcycle,attr_err,0.19580902122121624
centerpointpillars,bicycle,AP_dist_0.5,0.14201825329344978
centerpointpillars,bicycle,AP_dist_1.0,0.14893324859081994
centerpointpillars,bicycle,AP_dist_2.0,0.15049806963303172
centerpointpillars,bicycle,AP_dist_4.0,0.15611031090137703
centerpointpillars,bicycle,trans_err,0.21232794027007515
centerpointpillars,bicycle,scale_err,0.2720831953649735
centerpointpillars,bicycle,orient_err,0.5757455861465435
centerpointpillars,bicycle,vel_err,0.23033126778161345
centerpointpillars,bicycle,attr_err,0.03322294264342279
centerpointpillars,traffic_cone,AP_dist_0.5,0.4915700978483022
centerpointpillars,traffic_cone,AP_dist_1.0,0.5153434952503676
centerpointpillars,traffic_cone,AP_dist_2.0,0.5413250610488869
centerpointpillars,traffic_cone,AP_dist_4.0,0.5857416274977105
centerpointpillars,traffic_cone,trans_err,0.19106716698340587
centerpointpillars,traffic_cone,scale_err,0.35293927212240245
centerpointpillars,traffic_cone,orient_err,
centerpointpillars,traffic_cone,vel_err,
centerpointpillars,traffic_cone,attr_err,
centerpointpillars,barrier,AP_dist_0.5,0.43647530523464834
centerpointpillars,barrier,AP_dist_1.0,0.6176224523898098
centerpointpillars,barrier,AP_dist_2.0,0.6579872371073701
